,0,1,2,3,4,5,6,7,8,9
0,37i9dQZF1DXcBWIGoYBM5M,2FeBslNBMdR9V58uv6hd2t,0.79,0.67,0.105,0.377,2.32e-06,0.119,0.408,139.956
1,37i9dQZF1DXcBWIGoYBM5M,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,0.0656,0.0995,0.0,0.335,0.722,108.966
2,37i9dQZF1DXcBWIGoYBM5M,4LRPiXqCikLlN15c3yImP7,0.52,0.731,0.0557,0.342,0.00101,0.311,0.662,173.93
3,37i9dQZF1DXcBWIGoYBM5M,1rDQ4oMwGJI7B4tovsBOxc,0.905,0.563,0.102,0.0254,9.71e-06,0.113,0.324,106.998
4,37i9dQZF1DXcBWIGoYBM5M,0QBzMgT7NIeoCYy3sJCof1,0.756,0.697,0.0401,0.182,0.0,0.333,0.956,94.996
5,37i9dQZF1DXcBWIGoYBM5M,6Xom58OOXk2SoU711L2IXO,0.804,0.674,0.0333,0.294,1.18e-06,0.115,0.292,99.968
6,37i9dQZF1DXcBWIGoYBM5M,5dPz35akJjPqb17yeqNwqH,0.604,0.741,0.0475,0.178,3.49e-05,0.409,0.473,153.947
7,37i9dQZF1DXcBWIGoYBM5M,7DwcBgdzqhFJltEaV1XF81,0.669,0.773,0.153,0.038,0.0,0.113,0.377,93.923
8,37i9dQZF1DXcBWIGoYBM5M,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,0.22,0.00614,0.0,0.0486,0.546,87.981
9,37i9dQZF1DXcBWIGoYBM5M,58HvfVOeJY7lUuCqF0m3ly,0.41,0.611,0.0467,0.0228,0.0,0.116,0.0899,185.727
10,37i9dQZF1DXcBWIGoYBM5M,6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,0.0854,0.0888,0.00294,0.117,0.881,107.998
11,37i9dQZF1DXcBWIGoYBM5M,6gI9b2VsoWhjhIuIeToDVs,0.775,0.736,0.247,0.319,0.00116,0.127,0.362,100.988
12,37i9dQZF1DXcBWIGoYBM5M,3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
13,37i9dQZF1DXcBWIGoYBM5M,3uUuGVFu1V7jTQL60S1r8z,0.671,0.636,0.103,0.515,0.000411,0.172,0.262,120.966
14,37i9dQZF1DXcBWIGoYBM5M,59nOXPmaKlBfGMDeOVGrIK,0.463,0.642,0.34,0.314,0.0,0.0686,0.339,83.389
15,37i9dQZF1DXcBWIGoYBM5M,1r8ZCjfrQxoy2wVaBUbpwg,0.376,0.657,0.0768,0.0858,0.0,0.0884,0.203,80.565
16,37i9dQZF1DXcBWIGoYBM5M,1BSMpVGWs3v5BZKnAQziAc,0.69,0.626,0.306,0.105,0.000335,0.0881,0.912,184.009
17,37i9dQZF1DXcBWIGoYBM5M,7dSZ6zGTQx66c2GF91xCrb,0.87,0.516,0.0541,0.656,0.00823,0.11,0.53,111.005
18,37i9dQZF1DXcBWIGoYBM5M,6bQfNiqyCX7UaQSvVVGo4I,0.788,0.859,0.0856,0.281,0.0,0.0424,0.822,141.02
19,37i9dQZF1DXcBWIGoYBM5M,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,0.0317,0.034,4.19e-05,0.0952,0.942,116.032
20,37i9dQZF1DXcBWIGoYBM5M,5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,0.0483,0.0383,0.0,0.103,0.478,169.928
21,37i9dQZF1DXcBWIGoYBM5M,59CfNbkERJ3NoTXDvoURjj,0.345,0.612,0.0608,0.232,0.0,0.194,0.232,179.773
22,37i9dQZF1DXcBWIGoYBM5M,18asYwWugKjjsihZ0YvRxO,0.754,0.763,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953
23,37i9dQZF1DXcBWIGoYBM5M,1r9xUipOqoNwggBpENDsvJ,0.728,0.783,0.266,0.237,0.0,0.434,0.555,77.011
