order,playlist_id,track_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,11DoDA2VArA10BwgXTCJbY,31AOj9sFz2gM0O3hMARRBx,0.666,0.855,0.0295,0.179,1.2e-06,0.0987,0.803,125.639
1,11DoDA2VArA10BwgXTCJbY,2OErSh4oVVAUll0vHxdr6p,0.401,0.901,0.041,0.0704,0.0,0.538,0.839,134.799
2,11DoDA2VArA10BwgXTCJbY,34iOH7LY3vme5rQxsVILZ4,0.527,0.923,0.0379,0.000541,0.765,0.127,0.899,146.924
3,11DoDA2VArA10BwgXTCJbY,2EEinN4Zk8MUv4OQuLsTBj,0.372,0.91,0.0392,0.00101,0.0944,0.13,0.756,161.964
4,11DoDA2VArA10BwgXTCJbY,1FvDJ9KGxcqwv1utyPL3JZ,0.611,0.846,0.0436,0.00509,0.0,0.0784,0.751,103.912
5,11DoDA2VArA10BwgXTCJbY,5QLHGv0DfpeXLNFo7SFEy1,0.767,0.787,0.0331,0.0163,0.583,0.0513,0.964,126.879
0,7IB9Tcfk1IQQfsiLHcYq0L,1tJRS17TxD5bwdTk8ehP93,0.789,0.449,0.395,0.0624,0.0,0.131,0.301,91.777
1,7IB9Tcfk1IQQfsiLHcYq0L,6DPrhGVJ1WTZvM9fKptnGe,0.708,0.832,0.318,0.02,2.8e-06,0.189,0.618,92.428
2,7IB9Tcfk1IQQfsiLHcYq0L,6jCGzZn0gFeRlbqdaJhw6T,0.433,0.862,0.412,0.193,0.0,0.604,0.722,200.817
3,7IB9Tcfk1IQQfsiLHcYq0L,7G3lxTsMfSx4yarMkfgnTC,0.678,0.794,0.14,0.274,1.68e-06,0.124,0.54,87.374
4,7IB9Tcfk1IQQfsiLHcYq0L,3nDYsXggRQxf7PCNUjR4rz,0.758,0.912,0.349,0.172,1.09e-06,0.149,0.573,87.335
5,7IB9Tcfk1IQQfsiLHcYq0L,3u264XNfOLRYzObcd7MeLL,0.621,0.672,0.308,0.0345,0.0,0.0899,0.514,84.995
6,7IB9Tcfk1IQQfsiLHcYq0L,5ljCWsDlSyJ41kwqym2ORw,0.759,0.678,0.314,0.23,0.0,0.15,0.327,89.64
7,7IB9Tcfk1IQQfsiLHcYq0L,206QiQ5OnKTZE3cnuMYu3H,0.806,0.686,0.154,0.248,0.0,0.0613,0.632,84.011
8,7IB9Tcfk1IQQfsiLHcYq0L,6l3b8BOBDRDM1ne9fpOygz,0.877,0.781,0.0631,0.0437,0.0,0.0875,0.873,89.683
9,7IB9Tcfk1IQQfsiLHcYq0L,0PV1TFUMTBrDETzW6KQulB,0.59,0.672,0.412,0.125,1.04e-06,0.147,0.688,206.247
0,2KB1C76sp6J477HzgEM3zq,2WOjLF83vqjit2Zh4B69V3,0.6,0.243,0.0366,0.89,0.0022,0.249,0.468,110.535
1,2KB1C76sp6J477HzgEM3zq,0dfdXhBg11XA16XgAEtFcN,0.53,0.257,0.0332,0.913,0.0299,0.11,0.499,95.538
2,2KB1C76sp6J477HzgEM3zq,16XeptMdlJTWWeIrwEAOvv,0.702,0.244,0.0355,0.431,0.00867,0.0963,0.444,141.317
3,2KB1C76sp6J477HzgEM3zq,6VltRkmJbCTqgKrTHk4Ulw,0.502,0.4,0.0294,0.856,0.000375,0.333,0.435,127.182
4,2KB1C76sp6J477HzgEM3zq,47KDDZgFiX1w6RFOuLXsSn,0.564,0.354,0.0334,0.73,3.43e-06,0.208,0.423,98.075
5,2KB1C76sp6J477HzgEM3zq,2U2zfWWmmrdm3rld8CVwIZ,0.584,0.275,0.0292,0.795,5.01e-05,0.0924,0.266,103.088
6,2KB1C76sp6J477HzgEM3zq,1rk9eGO7AkPX1oafUuOnGs,0.524,0.446,0.0275,0.688,0.000745,0.101,0.272,97.856
